,,,,,,,,,,,,,,,VALIDAZIONE CATEGORIE,,,,,,,,
VALVE,VALVE,20SW200123,20SAP200123,DN 25,PP STD - PN10,Union End for Butt Weld / IR,DIA. VALVE,,Pcs,GF (George Fischer),167561004,,,,,X,,,,,,,
VALVE,VALVE,20SW200124,20SAP200124,DN 20,PP STD - PN10,Union End for Butt Weld / IR,DIA. VALVE,,Pcs,GF (George Fischer),167561003,,,,,X,,,,,,,
VALVE,VALVE,20SW200125,20SAP200125,DN 15,PP STD - PN10,Union End for Butt Weld / IR,DIA. VALVE,,Pcs,GF (George Fischer),167561002,,,,,X,,,,,,,
FITTING,CURVA 90°,10UPW100001,10SAP100001,DN 63,PVDF - PN16 UHP,Welded,ELBOW 90°,#VALUE!,Pcs,GF (George Fischer),735018737,,,,X,,,,,,,X,
FITTING,CURVA 90°,10UPW100002,10SAP100002,DN 50,PVDF - PN16 UHP,Welded,ELBOW 90°,#VALUE!,Pcs,GF (George Fischer),735018736,,,,X,,,,,,,X,
FITTING,CURVA 90°,10UPW100003,10SAP100003,DN 40,PVDF - PN16 UHP,Welded,ELBOW 90°,#VALUE!,Pcs,GF (George Fischer),735018735,,,,X,,,,,,,X,
FITTING,CURVA 90°,10UPW100004,10SAP100004,DN 32,PVDF - PN16 UHP,Welded,ELBOW 90°,#VALUE!,Pcs,GF (George Fischer),735018734,,,,X,,,,,,,X,
FITTING,CURVA 90°,10UPW100005,10SAP100005,DN 25,PVDF - PN16 UHP,Welded,ELBOW 90°,#VALUE!,Pcs,GF (George Fischer),735018733,,,,X,,,,,,,X,
FITTING,CURVA 90°,10UPW100006,10SAP100006,DN 20,PVDF - PN16 UHP,Welded,ELBOW 90°,#VALUE!,Pcs,GF (George Fischer),735018732,,,,X,,,,,,,X,
FITTING,CURVA 90°,10UPW100007,10SAP100007,DN 15,PVDF - PN16 UHP,Welded,ELBOW 90°,#VALUE!,Pcs,GF (George Fischer),735018731,,,,X,,,,,,,X,
FITTING,CURVA 45°,10UPW100008,10SAP100008,DN 63,PVDF - PN16 UHP,Welded,ELBOW 45° ,#VALUE!,Pcs,GF (George Fischer),735158637,,,,X,,,,,,,X,
FITTING,CURVA 45°,10UPW100009,10SAP100009,DN 50,PVDF - PN16 UHP,Welded,ELBOW 45° ,#VALUE!,Pcs,GF (George Fischer),735158636,,,,X,,,,,,,X,
FITTING,CURVA 45°,10UPW100010,10SAP100010,DN 40,PVDF - PN16 UHP,Welded,ELBOW 45° ,#VALUE!,Pcs,GF (George Fischer),735158635,,,,X,,,,,,,X,
FITTING,CURVA 45°,10UPW100011,10SAP100011,DN 32,PVDF - PN16 UHP,Welded,ELBOW 45° ,#VALUE!,Pcs,GF (George Fischer),735158634,,,,X,,,,,,,X,
FITTING,CURVA 45°,10UPW100012,10SAP100012,DN 25,PVDF - PN16 UHP,Welded,ELBOW 45° ,#VALUE!,Pcs,GF (George Fischer),735158633,,,,X,,,,,,,X,
